mGluino [GeV], NLO+NLL Cross section [pb],Uncertainty (NLO + NLL) [%],NNLO+NNLL Cross section [pb],Uncertainty (NNLOapprox + NNLL) [%]
1000.0,0.325388,16.758,0.385,11.6
1005.0,0.314329,16.7865,0.372,11.63
1010.0,0.30314,16.8766,0.359,11.67
1015.0,0.292987,16.8793,0.346,11.7
1020.0,0.282927,16.9098,0.334,11.74
1025.0,0.272778,16.9917,0.322,11.78
1030.0,0.263724,17.0244,0.311,11.81
1035.0,0.254721,17.0758,0.3,11.85
1040.0,0.245426,17.1325,0.29,11.88
1045.0,0.237403,17.1542,0.28,11.92
1050.0,0.229367,17.1975,0.27,11.95
1055.0,0.221273,17.2482,0.261,11.99
1060.0,0.214167,17.3167,0.252,12.02
1065.0,0.207025,17.3211,0.243,12.06
1070.0,0.199967,17.3603,0.235,12.09
1075.0,0.193881,17.4329,0.227,12.13
1080.0,0.186836,17.4816,0.219,12.17
1085.0,0.180783,17.5245,0.212,12.2
1090.0,0.174652,17.5336,0.205,12.24
1095.0,0.168526,17.6231,0.198,12.27
1100.0,0.163491,17.6402,0.191,12.31
1105.0,0.158451,17.6564,0.185,12.34
1110.0,0.153298,17.7266,0.179,12.38
1115.0,0.148246,17.7755,0.173,12.42
1120.0,0.143169,17.813,0.167,12.45
1125.0,0.139009,17.8569,0.162,12.49
1130.0,0.133972,17.9205,0.156,12.53
1135.0,0.129938,17.938,0.151,12.56
1140.0,0.125799,17.9658,0.146,12.6
1145.0,0.121755,18.0222,0.141,12.64
1150.0,0.117687,18.0655,0.137,12.67
1155.0,0.11358,18.1327,0.132,12.71
1160.0,0.110557,18.1465,0.128,12.74
1165.0,0.107532,18.1655,0.124,12.78
1170.0,0.10339,18.2421,0.12,12.82
1175.0,0.10036,18.2686,0.116,12.85
1180.0,0.0971485,18.3142,0.112,12.89
1185.0,0.0942072,18.3623,0.109,12.92
1190.0,0.0912756,18.3957,0.105,12.96
1195.0,0.0883712,18.4467,0.102,13.0
1200.0,0.0856418,18.4814,0.0985,13.03
1205.0,0.0830236,18.5276,0.0953,13.07
1210.0,0.0804313,18.5714,0.0923,13.1
1215.0,0.0779039,18.6096,0.0894,13.14
1220.0,0.0755801,18.6429,0.0866,13.17
