deepcsvCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0718) : (1.10017)) : (x<50 ? 1.11903:1.13203)) : (x<100 ? (x<80 ? (x<70 ? 1.14311:1.15101) : (1.15979)) : (x<120 ? 1.16922:1.16666))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.1505:1.13939) : (1.11653)) : (x<400 ? 1.08912:1.06727)) : (x<800 ? (x<670 ? 1.09359:1.0631) : (x<1000 ? 1.05067:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.98559) : (0.989506)) : (x<50 ? 0.9915:0.993848)) : (x<100 ? (x<80 ? (x<70 ? 0.995433:0.996714) : (0.996552)) : (x<120 ? 0.997362:0.996923))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992401:0.993178) : (0.989434)) : (x<400 ? 0.986392:0.977246)) : (x<800 ? (x<670 ? 0.973888:0.957888) : (x<1000 ? 0.964223:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.978516) : (0.984824)) : (x<50 ? 0.98863:0.990481)) : (x<100 ? (x<80 ? (x<70 ? 0.990935:0.991952) : (0.991873)) : (x<120 ? 0.991729:0.99113))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.990851:0.989384) : (0.988039)) : (x<400 ? 0.98533:0.981183)) : (x<800 ? (x<670 ? 0.971416:0.961894) : (x<1000 ? 0.961131:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06996) : (1.09832)) : (x<50 ? 1.11711:1.13002)) : (x<100 ? (x<80 ? (x<70 ? 1.14097:1.14868) : (1.15789)) : (x<120 ? 1.16685:1.16435))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.14717:1.13394) : (1.10872)) : (x<400 ? 1.0784:1.05196)) : (x<800 ? (x<670 ? 1.07302:1.02641) : (x<1000 ? 1.00504:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.983756) : (0.987547)) : (x<50 ? 0.98939:0.991553)) : (x<100 ? (x<80 ? (x<70 ? 0.992914:0.993923) : (0.994221)) : (x<120 ? 0.994426:0.994056))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.988286:0.986521) : (0.980031)) : (x<400 ? 0.974011:0.96192)) : (x<800 ? (x<670 ? 0.953317:0.912687) : (x<1000 ? 0.89816:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.977516) : (0.983758)) : (x<50 ? 0.987466:0.989194)) : (x<100 ? (x<80 ? (x<70 ? 0.989505:0.990344) : (0.990509)) : (x<120 ? 0.989985:0.989403))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.988359:0.985417) : (0.982543)) : (x<400 ? 0.978111:0.971546)) : (x<800 ? (x<670 ? 0.958863:0.9361) : (x<1000 ? 0.925259:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07364) : (1.10203)) : (x<50 ? 1.12094:1.13404)) : (x<100 ? (x<80 ? (x<70 ? 1.14526:1.15333) : (1.1617)) : (x<120 ? 1.17159:1.16896))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15383:1.14483) : (1.12434)) : (x<400 ? 1.09983:1.08258)) : (x<800 ? (x<670 ? 1.11415:1.09978) : (x<1000 ? 1.0963:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.987423) : (0.991465)) : (x<50 ? 0.99361:0.996142)) : (x<100 ? (x<80 ? (x<70 ? 0.997952:0.999505) : (0.998882)) : (x<120 ? 1.0003:0.999791))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.996515:0.999836) : (0.998836)) : (x<400 ? 0.998773:0.992573)) : (x<800 ? (x<670 ? 0.994459:1.00309) : (x<1000 ? 1.03029:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.979516) : (0.985889)) : (x<50 ? 0.989794:0.991767)) : (x<100 ? (x<80 ? (x<70 ? 0.992366:0.993559) : (0.993237)) : (x<120 ? 0.993473:0.992856))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993344:0.993352) : (0.993534)) : (x<400 ? 0.992549:0.99082)) : (x<800 ? (x<670 ? 0.983969:0.987688) : (x<1000 ? 0.997002:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09276) : (1.12421)) : (x<50 ? 1.14413:1.15817)) : (x<100 ? (x<80 ? (x<70 ? 1.16812:1.17711) : (1.18514)) : (x<120 ? 1.19529:1.19755))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.18136:1.17219) : (1.15439)) : (x<400 ? 1.12945:1.11399)) : (x<800 ? (x<670 ? 1.14048:1.10906) : (x<1000 ? 1.10044:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01628) : (1.01978)) : (x<50 ? 1.02046:1.02403)) : (x<100 ? (x<80 ? (x<70 ? 1.0277:1.02914) : (1.02942)) : (x<120 ? 1.03004:1.03941))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05283:1.06458) : (1.06824)) : (x<400 ? 1.08006:1.08375)) : (x<800 ? (x<670 ? 1.08483:1.05893) : (x<1000 ? 1.12987:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08802) : (1.12139)) : (x<50 ? 1.13959:1.16145)) : (x<100 ? (x<80 ? (x<70 ? 1.1816:1.20218) : (1.2264)) : (x<120 ? 1.2621:1.3301))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.41096:1.47765) : (1.5016)) : (x<400 ? 1.53231:1.52302)) : (x<800 ? (x<670 ? 1.58227:1.69476) : (x<1000 ? 1.63334:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09084) : (1.12226)) : (x<50 ? 1.14212:1.15606)) : (x<100 ? (x<80 ? (x<70 ? 1.16589:1.1747) : (1.18317)) : (x<120 ? 1.19284:1.19517))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17794:1.1666) : (1.14636)) : (x<400 ? 1.11842:1.09816)) : (x<800 ? (x<670 ? 1.11935:1.07148) : (x<1000 ? 1.05349:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01419) : (1.01754)) : (x<50 ? 1.01805:1.02141)) : (x<100 ? (x<80 ? (x<70 ? 1.02482:1.02594) : (1.02675)) : (x<120 ? 1.02667:1.03609))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04797:1.05666) : (1.057)) : (x<400 ? 1.0652:1.06543)) : (x<800 ? (x<670 ? 1.06021:1.00552) : (x<1000 ? 1.04663:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08661) : (1.11978)) : (x<50 ? 1.13776:1.15935)) : (x<100 ? (x<80 ? (x<70 ? 1.17918:1.19937) : (1.22392)) : (x<120 ? 1.25877:1.32658))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40557:1.46871) : (1.48917)) : (x<400 ? 1.51591:1.50202)) : (x<800 ? (x<670 ? 1.55362:1.63049) : (x<1000 ? 1.5487:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09468) : (1.12616)) : (x<50 ? 1.14615:1.16027)) : (x<100 ? (x<80 ? (x<70 ? 1.17035:1.17953) : (1.18712)) : (x<120 ? 1.19774:1.19994))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.18479:1.17778) : (1.16243)) : (x<400 ? 1.14047:1.12982)) : (x<800 ? (x<670 ? 1.16161:1.14665) : (x<1000 ? 1.14739:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01838) : (1.02202)) : (x<50 ? 1.02287:1.02665)) : (x<100 ? (x<80 ? (x<70 ? 1.03058:1.03233) : (1.03209)) : (x<120 ? 1.0334:1.04273))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05768:1.0725) : (1.07947)) : (x<400 ? 1.09492:1.10207)) : (x<800 ? (x<670 ? 1.10946:1.11235) : (x<1000 ? 1.21312:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08943) : (1.123)) : (x<50 ? 1.14142:1.16355)) : (x<100 ? (x<80 ? (x<70 ? 1.18401:1.20498) : (1.22887)) : (x<120 ? 1.26542:1.33362))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.41635:1.48659) : (1.51404)) : (x<400 ? 1.54871:1.54403)) : (x<800 ? (x<670 ? 1.61092:1.75903) : (x<1000 ? 1.71798:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00762) : (1.05609)) : (x<50 ? 1.07817:1.09545)) : (x<100 ? (x<80 ? (x<70 ? 1.10944:1.11774) : (1.11953)) : (x<120 ? 1.13009:1.13476))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.13348:1.11526) : (1.09041)) : (x<400 ? 1.05282:1.01441)) : (x<800 ? (x<670 ? 1.0009:0.934994) : (x<1000 ? 0.911257:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.883974) : (0.901443)) : (x<50 ? 0.914405:0.912099)) : (x<100 ? (x<80 ? (x<70 ? 0.915318:0.913347) : (0.90992)) : (x<120 ? 0.904179:0.912972))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.918381:0.898243) : (0.88539)) : (x<400 ? 0.892747:0.905696)) : (x<800 ? (x<670 ? 0.923521:0.935928) : (x<1000 ? 0.829073:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.19323) : (1.27457)) : (x<50 ? 1.31515:1.36973)) : (x<100 ? (x<80 ? (x<70 ? 1.41837:1.45626) : (1.5118)) : (x<120 ? 1.56265:1.77336))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.0721:2.4478) : (2.63084)) : (x<400 ? 3.32076:2.74856)) : (x<800 ? (x<670 ? 3.15835:2.69813) : (x<1000 ? 2.45499:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00545) : (1.05397)) : (x<50 ? 1.07605:1.09325)) : (x<100 ? (x<80 ? (x<70 ? 1.10713:1.11526) : (1.11752)) : (x<120 ? 1.1276:1.13234))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.12995:1.1095) : (1.08213)) : (x<400 ? 1.04146:0.998165)) : (x<800 ? (x<670 ? 0.979492:0.89698) : (x<1000 ? 0.863995:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.881122) : (0.898606)) : (x<50 ? 0.911433:0.908964)) : (x<100 ? (x<80 ? (x<70 ? 0.911917:0.909628) : (0.906846)) : (x<120 ? 0.900344:0.909175))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.91278:0.889184) : (0.872325)) : (x<400 ? 0.874725:0.882636)) : (x<800 ? (x<670 ? 0.890932:0.859204) : (x<1000 ? 0.727817:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18661) : (1.2671)) : (x<50 ? 1.30668:1.35981)) : (x<100 ? (x<80 ? (x<70 ? 1.40677:1.4427) : (1.49956)) : (x<120 ? 1.54603:1.75387))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.03694:2.37527) : (2.51899)) : (x<400 ? 3.11832:2.54889)) : (x<800 ? (x<670 ? 2.84009:2.11747) : (x<1000 ? 1.78107:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00979) : (1.05821)) : (x<50 ? 1.0803:1.09764)) : (x<100 ? (x<80 ? (x<70 ? 1.11175:1.12023) : (1.12153)) : (x<120 ? 1.13257:1.13717))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.13701:1.12103) : (1.09869)) : (x<400 ? 1.06417:1.03065)) : (x<800 ? (x<670 ? 1.02231:0.973007) : (x<1000 ? 0.958519:0)))" 
