DFlCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15408) : (1.17875)) : (x<50 ? 1.19498:1.2085)) : (x<100 ? (x<80 ? (x<70 ? 1.22493:1.23888) : (1.25722)) : (x<120 ? 1.28534:1.3382))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40366:1.44203) : (1.47112)) : (x<400 ? 1.50597:1.53804)) : (x<800 ? (x<670 ? 1.53076:1.52685) : (x<1000 ? 1.50182:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11463) : (1.14305)) : (x<50 ? 1.16464:1.17439)) : (x<100 ? (x<80 ? (x<70 ? 1.18504:1.18898) : (1.19741)) : (x<120 ? 1.21101:1.22403))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23084:1.245) : (1.25421)) : (x<400 ? 1.25415:1.22498)) : (x<800 ? (x<670 ? 1.24852:1.21793) : (x<1000 ? 1.15528:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02992) : (1.02617)) : (x<50 ? 1.02392:1.02395)) : (x<100 ? (x<80 ? (x<70 ? 1.02421:1.02382) : (1.02702)) : (x<120 ? 1.02643:1.03253))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04287:1.05132) : (1.06637)) : (x<400 ? 1.08402:1.07562)) : (x<800 ? (x<670 ? 1.07614:1.04094) : (x<1000 ? 0.988252:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15253) : (1.17697)) : (x<50 ? 1.19294:1.20618)) : (x<100 ? (x<80 ? (x<70 ? 1.22228:1.23585) : (1.2546)) : (x<120 ? 1.28189:1.33466))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.39843:1.43378) : (1.45984)) : (x<400 ? 1.49125:1.51842)) : (x<800 ? (x<670 ? 1.50564:1.47609) : (x<1000 ? 1.43415:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.11854) : (1.14705)) : (x<50 ? 1.16885:1.17885)) : (x<100 ? (x<80 ? (x<70 ? 1.18986:1.19423) : (1.20175)) : (x<120 ? 1.21648:1.22947))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23897:1.25881) : (1.27476)) : (x<400 ? 1.28315:1.26608)) : (x<800 ? (x<670 ? 1.30331:1.3189) : (x<1000 ? 1.27808:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03413) : (1.03066)) : (x<50 ? 1.02876:1.0292)) : (x<100 ? (x<80 ? (x<70 ? 1.02996:1.03018) : (1.03235)) : (x<120 ? 1.03313:1.03909))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05243:1.06692) : (1.0889)) : (x<400 ? 1.11432:1.11307)) : (x<800 ? (x<670 ? 1.12712:1.15505) : (x<1000 ? 1.14971:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15562) : (1.18053)) : (x<50 ? 1.19702:1.21083)) : (x<100 ? (x<80 ? (x<70 ? 1.22757:1.24191) : (1.25985)) : (x<120 ? 1.28878:1.34174))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.40888:1.45027) : (1.4824)) : (x<400 ? 1.52069:1.55766)) : (x<800 ? (x<670 ? 1.55588:1.5776) : (x<1000 ? 1.5695:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997735) : (1.04718)) : (x<50 ? 1.07355:1.08892)) : (x<100 ? (x<80 ? (x<70 ? 1.10414:1.11083) : (1.11689)) : (x<120 ? 1.12769:1.14559))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16189:1.16647) : (1.15455)) : (x<400 ? 1.14061:1.09675)) : (x<800 ? (x<670 ? 1.05635:1.00022) : (x<1000 ? 0.912368:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.872777) : (0.889354)) : (x<50 ? 0.900719:0.900295)) : (x<100 ? (x<80 ? (x<70 ? 0.905027:0.902471) : (0.900575)) : (x<120 ? 0.892639:0.898463))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.894993:0.869143) : (0.851124)) : (x<400 ? 0.838886:0.809691)) : (x<800 ? (x<670 ? 0.777094:0.800346) : (x<1000 ? 0.612342:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08806) : (1.14392)) : (x<50 ? 1.19378:1.21956)) : (x<100 ? (x<80 ? (x<70 ? 1.25875:1.32206) : (1.3346)) : (x<120 ? 1.40379:1.59431))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.89485:2.23144) : (2.59308)) : (x<400 ? 3.24248:4.53138)) : (x<800 ? (x<670 ? 4.40708:3.66717) : (x<1000 ? 2.91884:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.995826) : (1.0453)) : (x<50 ? 1.07162:1.0869)) : (x<100 ? (x<80 ? (x<70 ? 1.10197:1.10849) : (1.11497)) : (x<120 ? 1.12529:1.14322))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15832:1.16042) : (1.14567)) : (x<400 ? 1.12805:1.07887)) : (x<800 ? (x<670 ? 1.03369:0.959008) : (x<1000 ? 0.863543:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.869978) : (0.886604)) : (x<50 ? 0.897858:0.897278)) : (x<100 ? (x<80 ? (x<70 ? 0.901754:0.898901) : (0.897629)) : (x<120 ? 0.888994:0.894891))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.88983:0.8609) : (0.839298)) : (x<400 ? 0.822669:0.789697)) : (x<800 ? (x<670 ? 0.750238:0.734321) : (x<1000 ? 0.536446:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08147) : (1.13688)) : (x<50 ? 1.18579:1.21049)) : (x<100 ? (x<80 ? (x<70 ? 1.24821:1.30934) : (1.32353)) : (x<120 ? 1.38843:1.57635))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.86216:2.16645) : (2.48454)) : (x<400 ? 3.04989:4.11489)) : (x<800 ? (x<670 ? 3.87918:2.71374) : (x<1000 ? 1.99227:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.999644) : (1.04906)) : (x<50 ? 1.07547:1.09094)) : (x<100 ? (x<80 ? (x<70 ? 1.10631:1.11318) : (1.11881)) : (x<120 ? 1.13009:1.14797))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16547:1.17251) : (1.16343)) : (x<400 ? 1.15316:1.11462)) : (x<800 ? (x<670 ? 1.07901:1.04144) : (x<1000 ? 0.961192:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.875576) : (0.892103)) : (x<50 ? 0.90358:0.903313)) : (x<100 ? (x<80 ? (x<70 ? 0.9083:0.906041) : (0.903521)) : (x<120 ? 0.896283:0.902036))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.900156:0.877386) : (0.862949)) : (x<400 ? 0.855102:0.829685)) : (x<800 ? (x<670 ? 0.80395:0.866371) : (x<1000 ? 0.688238:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09464) : (1.15096)) : (x<50 ? 1.20177:1.22862)) : (x<100 ? (x<80 ? (x<70 ? 1.2693:1.33479) : (1.34567)) : (x<120 ? 1.41914:1.61228))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.92755:2.29643) : (2.70161)) : (x<400 ? 3.43508:4.94788)) : (x<800 ? (x<670 ? 4.93498:4.62059) : (x<1000 ? 3.84541:0)))" 
